source_id,year,venue,doi,url,theme,method,problem,hardware,evidence,relevance,gap,verification
verschueren2022acados,2022,Mathematical Programming Computation,10.1007/s12532-021-00208-8,https://doi.org/10.1007/s12532-021-00208-8,embedded real-time optimization,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
frison2020hpipm,2020,IFAC-PapersOnLine,10.1016/j.ifacol.2020.12.073,https://doi.org/10.1016/j.ifacol.2020.12.073,embedded real-time optimization,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
bemporad2002explicit,2002,Automatica,10.1016/S0005-1098(01)00174-1,https://doi.org/10.1016/S0005-1098(01)00174-1,embedded real-time optimization,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
diamond2016cvxpy,2016,JMLR,,https://jmlr.org/papers/v17/15-408.html,embedded real-time optimization,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
boyd2004convex,2004,Cambridge University Press,,https://web.stanford.edu/~boyd/cvxbook/,embedded real-time optimization,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
su2026distributionally,2026,Chinese Journal of Aeronautics,10.1016/j.cja.2026.104210,https://doi.org/10.1016/j.cja.2026.104210,robust and chance-constrained powered descent,direct robust or stochastic powered-descent method,powered descent under uncertainty,not established,Title and Crossref bibliographic metadata directly identify powered descent and uncertainty treatment,Direct core source for robust or chance-constrained powered descent,not established from metadata; full-text review required,metadata_verified: Crossref title author year venue and DOI checked 2026-07-13
su2023stochastic,2023,China Automation Congress,10.1109/CAC59555.2023.10451466,https://doi.org/10.1109/CAC59555.2023.10451466,robust and chance-constrained powered descent,direct robust or stochastic powered-descent method,powered descent under uncertainty,not established,Title and Crossref bibliographic metadata directly identify powered descent and uncertainty treatment,Direct core source for robust or chance-constrained powered descent,not established from metadata; full-text review required,metadata_verified: Crossref title author year venue and DOI checked 2026-07-13
ridderhof2018covariance,2018,AIAA GNC,10.2514/6.2018-0611,https://doi.org/10.2514/6.2018-0611,robust and chance-constrained powered descent,direct robust or stochastic powered-descent method,powered descent under uncertainty,not established,Title and Crossref bibliographic metadata directly identify powered descent and uncertainty treatment,Direct core source for robust or chance-constrained powered descent,not established from metadata; full-text review required,metadata_verified: Crossref title author year venue and DOI checked 2026-07-13
blackmore2011chance,2011,IEEE Transactions on Robotics,10.1109/TRO.2011.2161160,https://doi.org/10.1109/TRO.2011.2161160,robust and chance-constrained powered descent,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
nemirovski2007convex,2007,SIAM Journal on Optimization,10.1137/050622328,https://doi.org/10.1137/050622328,robust and chance-constrained powered descent,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
braun2007mars,2007,Journal of Spacecraft and Rockets,10.2514/1.25116,https://doi.org/10.2514/1.25116,robust and chance-constrained powered descent,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
acikmese2013morpheus,2013,NASA NTRS,,https://ntrs.nasa.gov/citations/20130011614,closed-loop and hardware-in-the-loop,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
dwyer2014morpheus,2014,AIAA SPACE,,https://ntrs.nasa.gov/citations/20140012541,closed-loop and hardware-in-the-loop,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
chen2021mars2020,2019,IEEE Aerospace,10.1109/AERO.2019.8742167,https://doi.org/10.1109/AERO.2019.8742167,closed-loop and hardware-in-the-loop,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
johnson2017alhat,2008,NASA JPL,,https://ntrs.nasa.gov/citations/20080012645,closed-loop and hardware-in-the-loop,bibliographic topic classification,precision landing navigation,not established,Title and NASA bibliographic metadata establish relevance to precision landing verification,Provides a traceable source for closed-loop landing context,not established from metadata; full-text review required,metadata_verified: NASA NTRS record checked 2026-07-13
olansen2014morpheus,2014,AIAA SPACE,10.2514/6.2014-4314,https://doi.org/10.2514/6.2014-4314,closed-loop and hardware-in-the-loop,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: formal registry record checked 2026-07-13
ye2021tianwen,2017,Science China Technological Sciences,10.1007/s11431-016-9035-5,https://doi.org/10.1007/s11431-016-9035-5,closed-loop and hardware-in-the-loop,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
el2009legendre,1995,IEEE TAC,10.1109/9.467672,https://doi.org/10.1109/9.467672,sequential convex programming,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
scharf2014adapt,2014,NASA JPL,,https://ntrs.nasa.gov/citations/20150000845,closed-loop and hardware-in-the-loop,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: NASA NTRS record checked 2026-07-13
